planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
Kepler-1266 b,Kepler-1266,1,2,Transit,2016,Kepler,28.474748,0.16431,0,2.58,7.18,489,,5044,0.76,0.8,-0.07,4.59,285.8693277,42.7279996,849.312,16.016,0,10.313
Kepler-1266 c,Kepler-1266,1,2,Transit,2021,Kepler,4.86631012,0.0506,0,1.68023962,3.46,881,,4996,0.831,0.791,0.14,4.497,285.8693277,42.7279996,849.312,16.016,0,110.4
Kepler-1267 b,Kepler-1267,1,1,Transit,2016,Kepler,13.0313945,0.1057,0,3.01,9.32,774,,6096,1.2,1.15,0.07,4.33,299.1695093,43.4410533,1379.43,15.846,0,86.469
Kepler-1268 b,Kepler-1268,1,1,Transit,2016,Kepler,40.9903986,0.2383,0,2.03,4.78,627,,5904,1.09,1.06,0.05,4.38,287.838419,43.1531776,1840.77,15.484,0,40.652
Kepler-1269 b,Kepler-1269,1,1,Transit,2016,Kepler,37.3331536,0.23611,0,1.63,3.29,657,,5998,1.15,1.1,0.07,4.36,287.8055442,45.3405371,1097.23,13.658,0,69.004
Kepler-127 b,Kepler-127,1,3,Transit,2014,Kepler,14.435889,0.125,0.47,1.4,2.54,884,,6106,1.359,1.248,0.2142,4.265,285.1899439,46.0280596,352.794,11.746,0,159.163
Kepler-127 c,Kepler-127,1,3,Transit,2014,Kepler,29.393195,0.2,0.03,2.66,7.56,698,,6106,1.359,1.248,0.2142,4.265,285.1899439,46.0280596,352.794,11.746,0,61.688
Kepler-127 d,Kepler-127,1,3,Transit,2014,Kepler,48.630408,0.28,0.03,2.64,7.46,590,,6106,1.359,1.248,0.2142,4.265,285.1899439,46.0280596,352.794,11.746,0,31.519
Kepler-1270 b,Kepler-1270,1,1,Transit,2016,Kepler,6.03356196,0.07045,0,3.32,11,1598,,5047,3.38,1.28,-0.02,3.49,286.7156676,48.6452552,1095.05,13.562,0,1217.395
Kepler-1271 b,Kepler-1271,1,1,Transit,2016,Kepler,3.0255955,0.04233,0,1.48,2.79,1484,,6143,1.23,1.13,-0.01,4.31,286.3442954,37.4119347,831.991,14.075,0,975.181
Kepler-1272 b,Kepler-1272,1,1,Transit,2016,Kepler,51.1309704,0.2705,0,2.37,6.21,542,,5926,1.09,1.06,0.06,4.39,285.2197605,38.8058393,1206.37,14.734,0,34.433
Kepler-1273 b,Kepler-1273,1,1,Transit,2016,Kepler,28.625653,0.1857,0,2.49,6.76,573,,5566,0.91,0.94,0.03,4.5,285.8032016,44.8733983,1114.24,16.03,0,14.877
Kepler-1274 b,Kepler-1274,1,1,Transit,2016,Kepler,6.98152703,0.08161,0,1.42,2.6,1384,,6179,2.17,1.45,0.11,3.93,284.5936858,46.4497364,614.648,11.717,0,975.81
Kepler-1275 b,Kepler-1275,1,1,Transit,2016,Kepler,3.65691115,0.0488,0,1.48,2.79,1368,,6296,1.36,1.23,0.04,4.26,293.5004955,44.9324455,1153.98,14.595,0,822.484
Kepler-1276 b,Kepler-1276,1,1,Transit,2016,Kepler,12.5720095,0.10863,0,1.19,1.81,886,,6188,1.21,1.14,-0.02,4.33,287.8570173,40.5471909,538.481,12.992,0,139.77
Kepler-1277 b,Kepler-1277,1,1,Transit,2016,Kepler,40.8365012,0.21857,0,1.6,3.19,496,,5578,0.92,0.94,-0.01,4.49,295.1025166,40.5723736,557.193,14.306,0,12.11
Kepler-1278 b,Kepler-1278,1,1,Transit,2016,Kepler,3.23941344,0.04417,0,1.01,1.01,1213,,6074,1.16,1.11,0.02,4.35,282.9569197,42.8255589,889.426,13.782,0,1314.67
Kepler-1279 b,Kepler-1279,1,1,Transit,2016,Kepler,23.4774101,0.1785,0,1.75,3.71,738,,6221,1.33,1.21,0.06,4.26,288.0955917,40.365909,1494.22,14.137,0,190.851
Kepler-128 b,Kepler-128,1,2,Transit,2013,Kepler,15,0.12545,0,1.421,3.79,968,,6072,1.659,1.184,-0.03,4.07,282.4922622,43.9802442,396.379,11.693,0,227.398
