planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
TOI-4145 A b,TOI-4145 A,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),4.0664428,0.04823,0,13.30506009,136.666215,1074,,5281,0.859,0.905,0.168,4.526,39.4297435,80.2673838,205.387,12.084,0,223
TOI-4153 b,TOI-4153,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),4.6174141,0.06311,0.039,16.11851425,365.5026681,1669,,6860,1.605,1.572,0.317,4.224,335.3934698,82.2160792,423.84,11.601,0,1212.0072
TOI-4155 b,TOI-4155,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),3.320729,,,3.21,10.4,1255,,5724,0.95,1.16,0.11,4.44,325.6362269,77.7343836,240.737,11.85,0,586.762
TOI-4184 b,TOI-4184,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),4.9019804,0.0336,,2.43,6.48,412,M5.5+/-0.5,3238,0.2347,0.2109,-0.27,5.01,43.8284749,-79.4147039,69.3649,17.12,0,4.8
TOI-4201 b,TOI-4201,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),3.5819194,0.04,0.041,13.67495645,788.2144494,725,M1.0+/-0.5,3794,0.63,0.61,0.52,4.64,90.4747237,-13.461371,189.011,15.163,0,45.2
TOI-421 b,TOI-421,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),5.197576,0.0554,0.13,2.64,6.7,922,G9 V,5291,0.866,0.833,-0.044,4.48,81.8532824,-14.2767404,74.7969,9.931,0,154.57
TOI-421 c,TOI-421,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),16.067541,0.117,0.19,5.09,14.1,635,G9 V,5291,0.866,0.833,-0.044,4.48,81.8532824,-14.2767404,74.7969,9.931,0,34.32
TOI-4214 b,TOI-4214,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),3.4913885,0.05018,0.17,10.68215861,165.2707716,1642,,6370,1.434,1.382,0.294,4.266,110.2495104,-13.9262649,346.881,11.79,0,1210
TOI-4308 b,TOI-4308,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),9.151201,,,2.4189,6.43,763.05,,5243,0.7934,0.9,,4.593,327.7530693,-43.5623642,108.932,11.251,0,55.3616
TOI-431 b,TOI-431,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.490047,0.0113,0,1.28,3.07,1862,,4850,0.731,0.78,0.2,4.6,83.2692502,-26.7238698,32.5686,9.12,0,2120.4475
TOI-431 c,TOI-431,1,3,Radial Velocity,2021,La Silla Observatory,4.8494,0.052,0,1.49,2.83,867,,4850,0.731,0.78,0.2,4.6,83.2692502,-26.7238698,32.5686,9.12,0,
TOI-431 d,TOI-431,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),12.46103,0.098,0,3.29,9.9,633,,4850,0.731,0.78,0.2,4.6,83.2692502,-26.7238698,32.5686,9.12,0,28.3588
TOI-4329 b,TOI-4329,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.9223,,0.068,16.81347105,143.0227832,2027.12,,6000,2.31,1.538,0.29,3.9,329.5639152,71.1316048,717.128,12.724,0,3990.5716
TOI-4336 A b,TOI-4336 A,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),16.336334,0.0872,,2.12,5.14,308,M3.5+/-0.5,3298,0.328,0.331,-0.209,4.927,206.1070129,-40.3373505,22.5455,13.6,0,1.5
TOI-4342 b,TOI-4342,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),5.5382498,0.05251,,2.266,5.76,633.6,M0 V,3901,0.599,0.6296,,4.6878,324.3894196,-77.9791468,61.5204,12.669,0,26.9
TOI-4342 c,TOI-4342,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),10.688716,0.0814,,2.415,6.41,508.9,M0 V,3901,0.599,0.6296,,4.6878,324.3894196,-77.9791468,61.5204,12.669,0,11.18
TOI-4364 b,TOI-4364,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),5.424019,0.04753,0.29,2.01,4.7,488,M4 V,3528,0.4684,0.487,0.148,4.785,80.066927,-4.2392481,43.9662,13.564,0,13.3328
TOI-4377 b,TOI-4377,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),4.378081,0.0579,0.045,15.10970598,304.1617855,1162.08,,4974,3.52,1.36,0.205,3.39,164.9324709,-82.2213501,455.82,11.707,0,430.9826
TOI-4379 b,TOI-4379,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),3.25352,,0.018,16.69017226,353.743017,1869.38,,6020,1.976,1.372,0.16,3.929,252.0478813,-32.4337532,645.158,12.661,0,2886.0942
TOI-4406 b,TOI-4406,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),30.08364,0.201,0.15,11.2089807,95.3485221,904,,6219,1.29,1.19,0.1,4.29,18.0485164,-56.9253875,261.834,10.937,0,58.0054
TOI-4438 b,TOI-4438,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),7.44628,0.0534,0.14,2.52,5.4,435,M3.5 V,3422,0.372,0.368,-0.19,4.68,270.3172389,35.5948992,30.0346,13.69,0,6
TOI-444 b,TOI-444,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),17.9636,0.133,,2.77,8.1,609,K1/2 V,5225,0.779,0.96,0.08,4.64,64.1839982,-26.7664071,57.3973,9.86,0,23.4694
TOI-4443.01,TOI-4443,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),1.8498567,0.029962645,,1.7193265,3.6,1638.82,,5834,1.01733,1.049133,,4.44433,274.2686643,21.9095459,56.0739,8.493,0,1194.2104
TOI-4463 A b,TOI-4463 A,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),2.8807198,0.04036,0,13.26022417,252.3557552,1395,,5640,1.062,1.056,0.25,4.41,279.3581286,18.7299522,173.117,11.036,0,633
TOI-4465 b,TOI-4465,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),101.94054,0.416,0.24,14.01122587,1872.009317,427,G V,5545,1.014,0.93,-0.06,4.379,276.1340312,15.8418856,121.139,10.427,0,130.528
TOI-4479 b,TOI-4479,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1.1589,0.0164,,2.82,8.35,861,M3.0,3400,0.451,0.452,0,4.5,316.0969388,24.6536739,80.6532,15.18,0,92.5
TOI-4487 A b,TOI-4487 A,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),3.9540709,0.05448,0.083,14.60530185,397.2855088,1639,,6206,1.634,1.378,0.216,4.15,306.4220814,45.9710306,479.145,12.109,0,1203
TOI-4495.01,TOI-4495,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),5.1830043,0.061732577,,3.63045,12.8,1382.67,,6156,1.34,1.168817,,4.25196,286.3624951,37.0259902,132.214,9.531,0,346.626
TOI-4504 b,TOI-4504,1,3,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),2.42614,0.03392,0,2.691,7.71,1234.03,K1 V,5315,0.92,0.89,0.16,4.458,114.4673065,-62.0782776,342.605,13.364,0,548.0544
TOI-4504 c,TOI-4504,1,3,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),82.97213,0.3569,0.032,11.09689089,1197.323175,182.8,K1 V,5315,0.92,0.89,0.16,4.458,114.4673065,-62.0782776,342.605,13.364,0,0.2639
TOI-4504 d,TOI-4504,1,3,Transit Timing Variations,2024,Multiple Observatories,40.5634,0.2219,0.0445,13.6,450.2357214,,K1 V,5315,0.92,0.89,0.16,4.458,114.4673065,-62.0782776,342.605,13.364,0,
TOI-451 b,TOI-451,2,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.858703,0.0283,0,1.91,4.31,1491,,5550,0.879,0.95,,4.56,62.966385,-37.93973,123.739,10.939,0,695.188
TOI-451 c,TOI-451,2,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),9.192522,0.0823,0,3.1,9.8,875,,5550,0.879,0.95,,4.56,62.966385,-37.93973,123.739,10.939,0,82.5178
TOI-451 d,TOI-451,2,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),16.364988,0.1208,0,4.07,15.6,722,,5550,0.879,0.95,,4.56,62.966385,-37.93973,123.739,10.939,0,38.2372
TOI-4515 b,TOI-4515,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),15.266446,0.118,0.461,12.17,637,705,G8/G9,5433,0.86,0.949,0.05,4.48,21.1861778,21.5130638,193.499,11.938,0,42.2987
TOI-4527.01,TOI-4527,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.3994445,0.008332353,,0.9086617,0.689,1362.93,M2V:,3702,0.485948,0.483901,,4.75,19.4722574,5.4711996,18.1037,10.917,0,571.5072
TOI-4551 b,TOI-4551,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),9.95581,0.0994,0.101,11.85910158,473.5643264,1655,,4896,3.55,1.31,0.23,3.48,184.9787579,-25.8278531,215.986,9.973,0,1247.74
TOI-4559 b,TOI-4559,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),3.965991,0.0359,,1.415,2.59,554.16,,3558,0.374,0.392,-0.09,4.884,211.0135378,-30.0141252,31.6354,13.115,0,15.77
TOI-4562 b,TOI-4562,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),225.1064,0.768,0.76,12.53,732,318,F7 V,6096,1.152,1.192,0.08,4.39,112.0100593,-63.5177788,339.605,12.14,0,3.2011
TOI-4562 c,TOI-4562,1,2,Transit Timing Variations,2024,Multiple Observatories,3990,5.219,0.122,12.8,1833.869908,,F7 V,6096,1.152,1.192,0.08,4.39,112.0100593,-63.5177788,339.605,12.14,0,
TOI-4582 b,TOI-4582,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),31.034,,0.51,10.53644186,168.4490557,614.66,,5190,2.5,1.34,0.17,3.77,256.8601374,68.8656263,383.846,11.27,0,33.7343
TOI-4600 b,TOI-4600,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),82.6869,0.349,0.25,6.8,959.8417891,347,K V,5170,0.81,0.89,0.16,4.57,258.4503674,64.5661727,216.056,12.577,0,3.3159
TOI-4600 c,TOI-4600,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),482.8191,1.152,0.21,9.42,2946.269333,191,K V,5170,0.81,0.89,0.16,4.57,258.4503674,64.5661727,216.056,12.577,0,48.3867
TOI-4602.01,TOI-4602,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),3.9812091,0.05099712,,2.550449,7.04,1380.27,,6011.9,1.15664,1.116795,,4.36,60.6003316,31.3298354,63.0637,8.32,0,603.6935
TOI-4603 b,TOI-4603,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),7.24599,0.0888,0.325,11.67975789,4096.808166,1677,F,6264,2.738,1.765,0.342,3.81,83.8659288,21.2942417,225.643,9.24,0,1192
TOI-4633 c,TOI-4633,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),271.9445,0.847,0.117,3.2,123,268.57,G V,5800,1.05,1.1,0.2379,4.02198,256.8431021,62.475548,95.2016,9.017,0,1.56
TOI-4638.01,TOI-4638,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),10.28391879,0.093013,,2.933,8.92,779.83,,5700,0.895,1.02,,4.54131,12.8206627,12.7879858,168.248,11.657,0,87.81
TOI-4641 b,TOI-4641,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),22.09341,0.173,0.074,8.18255591,1229.995935,950.11,,6560,1.72,1.41,-0.09,4.11,42.5582023,25.3335334,86.3501,7.51,0,192.5802
TOI-470 b,TOI-470,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),12.19148,0.119,,4.34,17.4,660,G,5190,0.831,0.87,0.1,4.54,94.0099043,-25.0314111,130.46,11.171,0,44.7551
TOI-4734 b,TOI-4734,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),6.235633,0.074,0.12,10.9175472,61.65871096,1468,,6070,1.857,1.391,0.288,4.046,90.3581219,12.5478825,563.068,12.358,0,775
TOI-4773 b,TOI-4773,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),1.7452851,0.03216,0.024,15.22179579,1687.668841,2255,,6740,1.55,1.452,0.11,4.22,114.9426489,-21.4856184,492.888,12.075,0,3879.8071
TOI-4791 b,TOI-4791,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),4.28088,0.0555,0,12.44196858,734.1836202,1472,,6058,1.409,1.242,0.207,4.234,109.3883818,-19.8289392,328.802,11.541,0,783.2
TOI-4794 b,TOI-4794,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),3.5658116,0.0492,0.1,14.35870428,308.2935548,1673,,6390,1.451,1.25,-0.102,4.215,110.4835517,-12.5654781,543.008,12.563,0,1310
TOI-480 b,TOI-480,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),6.866196,0.077,0,2.85372018,20.8,1198.94,,6174,1.4877,1.2793,0.164,4.194,88.3784618,-16.2653974,54.5306,7.28,0,531.521
TOI-481 b,TOI-481,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.33111,0.097,0.153,11.09691,486.2799,1370,G,5735,1.66,1.14,0.26,4.06,110.5126861,-57.384998,179.366,9.972,0,253.126
TOI-4860 b,TOI-4860,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1.5227591,0.01808,0.008,8.7,86.7,694,M3.5 V,3260,0.358,0.34,0.27,4.86,183.563961,-13.1748411,80.1423,16.47,0,42.5
TOI-4914 b,TOI-4914,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),10.60057,0.098,0.408,12.87,227,894,,5805,1,1.03,-0.13,4.3,204.5426717,-28.1429206,299.89,12.235,0,18.1082
TOI-4961 b,TOI-4961,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),7.479182,0.0726,0.182,12.34108775,572.0911326,919,,5380,0.912,0.912,0.206,4.479,192.5018624,-59.8919345,213.073,12.486,0,115
TOI-4994 b,TOI-4994,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),21.491984,0.1515,0.319,8.54124329,88.99195396,717.6,,5640,1.055,1.005,0.165,4.393,283.1325335,-78.4344302,329.304,12.652,0,40
TOI-500 b,TOI-500,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0.548177,0.01189,0.063,1.166,1.42,1617,K6 V,4440,0.678,0.74,0.12,4.618,106.559098,-47.5878156,47.3924,10.54,0,1138
TOI-500 c,TOI-500,1,4,Radial Velocity,2022,La Silla Observatory,6.6356,,0.072,2.09,5.03,,K6 V,4440,0.678,0.74,0.12,4.618,106.559098,-47.5878156,47.3924,10.54,0,
TOI-500 d,TOI-500,1,4,Radial Velocity,2022,La Silla Observatory,26.233,,0.016,6.35,33.12,,K6 V,4440,0.678,0.74,0.12,4.618,106.559098,-47.5878156,47.3924,10.54,0,
TOI-500 e,TOI-500,1,4,Radial Velocity,2022,La Silla Observatory,61.3,,0.073,3.99,15.05,,K6 V,4440,0.678,0.74,0.12,4.618,106.559098,-47.5878156,47.3924,10.54,0,
TOI-5005 b,TOI-5005,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),6.3085044,0.06614,,6.25,32.7,1040,G2 V,5749,0.93,0.97,0.15,4.43,238.108194,-48.1451,207.891,11.867,0,226
TOI-5027 b,TOI-5027,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),10.24368,0.093,0.385,10.76062147,642.0133821,1056,,5909,0.92,1.02,-0.15,4.517,243.8850212,-69.2170972,204.429,11.566,0,190.912
TOI-5076 b,TOI-5076,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),23.443162,0.1481,0,3.48935569,16.14568308,550,K2 V,4780,0.844,0.789,0.082,4.483,50.5104166,17.2392094,82.857,10.9,0,12.8373
TOI-5082.01,TOI-5082,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),4.240122,0.051204842,,2.54811,7.03,1164.91,,5670,0.93,0.99665,0.09,4.5,106.569578,22.6831477,43.1406,8.25,0,254.588
TOI-5108 b,TOI-5108,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),6.753581,0.073,,6.6,32,1180,,5808,1.29,1.1,0.2,4.26,166.2695041,11.2464069,130.919,9.75,0,122.785
TOI-5110 b,TOI-5110,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),30.158577,0.2157,0.745,11.98240037,921.7023803,976,,6160,2.333,1.469,0.065,3.869,94.4042694,31.6103309,392.259,11.06,0,15.1027
TOI-512 b,TOI-512,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),7.18886,,0.02,1.54,3.57,1009,,5277,0.89,0.74,-0.11,4.35,96.6467023,-38.6072095,67.3975,9.735,0,127
TOI-5126 b,TOI-5126,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),5.4588385,0.06519,0,4.74,20.2,1442,F V,6150,1.241,1.24,0.18,4.224,151.6597827,18.6340631,160.414,10.141,0,467
TOI-5126 c,TOI-5126,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),17.8999,0.1439,0,3.86,14.2,971,F V,6150,1.241,1.24,0.18,4.224,151.6597827,18.6340631,160.414,10.141,0,96
TOI-5143 c,TOI-5143,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),5.2097118,0.05602,,16.25302201,,904.48,K V,5183,0.852,0.864,0.107,4.514,165.3651202,5.1394812,181.38,11.935,0,158.1646
TOI-5153 b,TOI-5153,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),20.33003,0.158,0.091,11.88151954,1036.120607,906,F8 V,6300,1.4,1.24,0.12,4.3,91.5403204,-19.9534443,390.484,11.932,0,49.5559
TOI-5174 b,TOI-5174,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),12.214286,,,5.351,24.8,808.37,,5643.77,1.09457,1,0.415,4.35958,174.1094967,-2.0233506,197.243,11.583,0,100.9112
TOI-5181 A b,TOI-5181 A,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),3.8922295,0.0522,0.15,13.34989601,330.5415433,1585,,6060,1.53,1.25,0.208,4.163,280.6774738,21.6998203,480.155,12.301,0,1053
TOI-519 b,TOI-519,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1.2652328,0.0159,0.33,11.54525012,147.1545524,687,M V,3322,0.35,0.335,0.27,4.87,124.6067582,-19.6627918,115.557,17.35,0,54
TOI-5205 b,TOI-5205,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1.630757,0.0199,0.02,11.6,343,737,M4.0,3430,0.394,0.392,0,4.84,313.7706819,24.360977,86.4493,15.899,0,49
TOI-5210 b,TOI-5210,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),4.5661061,0.0557,0.066,10.72699453,81.99972901,1286,,5723,1.209,1.105,0.324,4.319,314.316923,21.9502055,302.086,12.118,0,456
TOI-5218 b,TOI-5218,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),4.291452,0.0469,0,9.86,657,783,,4230,0.708,0.739,0.41,4.63,292.6634642,71.7629612,377.483,16.044,0,62
TOI-5232 b,TOI-5232,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),4.0966692,0.05593,0.035,12.778238,743.7184724,1772,,6500,1.785,1.389,-0.104,4.077,294.3374248,35.2764934,609.388,12.246,0,1193.86
TOI-5238 b,TOI-5238,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),4.872171,,,5.22,23.7,1042,,5631,1.02283,1,,4.41846,223.3588909,68.859472,290.646,12.214,0,195.925
TOI-5261 b,TOI-5261,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),4.1509768,0.05134,0.1585,11.60129502,3651.848396,1244,,5790,1.021,1.037,0.254,4.436,305.4585453,19.4358468,377.054,12.68,0,159.592
TOI-5293 A b,TOI-5293 A,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),2.930289,0.034,0.38,11.9,170.4,675,M3+/-1,3586,0.52,0.54,-0.03,4.77,355.828682,-2.0450945,162.229,16.19,0,34.6
TOI-530 b,TOI-530,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.387597,0.052,0,9.30345398,127.1313628,565,M0.5 V,3659,0.54,0.53,0.376,4.7,103.4128333,12.8815784,148.762,15.403,0,14.259
TOI-5300 b,TOI-5300,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),2.262196,0.0295,0,9.86390302,190.6970442,1043,K4 V,4610,0.65,0.67,-0.17,4.64,356.481137,0.4587978,162.51,13.869,0,198
TOI-5301 b,TOI-5301,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),5.858858,0.073,0.33,13.09208946,1182.321674,1648,,6240,2.19,1.483,0.03,3.926,12.9908008,13.0783712,629.161,11.738,0,429.794
TOI-5319 b,TOI-5319,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),4.07853,0.0506,,2.83,8.4,695,M,3580,0.485,0.5,,4.5,35.2135563,23.5204408,61.171,13.947,0,38.7885
TOI-532 b,TOI-532,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.3266508,0.0296,0,5.82,61.5,867,,3927,0.612,0.639,0.338,4.669,85.0800537,11.5626373,135.047,14.413,0,94.1
TOI-5322 b,TOI-5322,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),5.4233207,0.0604,0.055,16.6117094,184.0226477,1350,,5692,1.462,0.998,-0.048,4.11,6.5293373,14.3364283,476.899,12.733,0,554
TOI-5340 b,TOI-5340,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),4.9394392,0.0628,0.13,15.07607904,270.154146,1566,,5990,1.842,1.35,0.208,4.036,59.3094816,22.3783373,532.629,12.399,0,1004
TOI-5344 b,TOI-5344,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),3.792622,0.04041,0.054,10.60369574,130.9453037,689,,3747,0.588,0.612,0.425,4.686,63.2662165,20.9151568,138.367,15.402,0,38
TOI-5350 b,TOI-5350,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),7.581367,0.0796,0.0165,12.41955062,2094.489202,1195,,6220,1.263,1.167,0.044,4.304,74.4023015,21.6019759,277.419,11.953,0,321.879
TOI-5386 A b,TOI-5386 A,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),3.62156552,0.04856,0.072,14.70618268,155.1002626,1488,,6094,1.245,1.165,0.182,4.314,226.1069193,60.5362318,394.486,11.554,0,817
TOI-5388.01,TOI-5388,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),2.594675,0.024335855,,1.89426,4.25,601.35,,3495,0.31,0.28572,,4.91164,152.1765169,35.5475571,18.5226,12.728,0,3.3023
TOI-5398 b,TOI-5398,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),10.590547,0.098,0.13,10.3,58.7,947,G V,6000,1.051,1.146,0.09,4.44,161.8795569,36.3294345,130.855,10.059,0,118.413
TOI-5398 c,TOI-5398,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),4.77271,0.057,0.14,3.52,11.8,1242,G V,6000,1.051,1.146,0.09,4.44,161.8795569,36.3294345,130.855,10.059,0,370.603
TOI-540 b,TOI-540,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.2391491,0.01223,0,0.903,0.674,611,M V,3216,0.1895,0.159,,4.438,76.3096949,-47.9375391,14.0022,14.823,0,23.4
TOI-544 b,TOI-544,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1.548352,0.0225,0,2.018,2.89,999,,4169,0.623,0.631,-0.17,4.68,82.2900716,-0.3428983,41.1166,10.777,0,240.195
TOI-544 c,TOI-544,1,2,Radial Velocity,2023,La Silla Observatory,50.089,,0.32,4.92,21.5,,,4169,0.623,0.631,-0.17,4.68,82.2900716,-0.3428983,41.1166,10.777,0,
TOI-5542 b,TOI-5542,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),75.12375,0.332,0.018,11.30986153,419.5334972,441,G3 V,5700,1.058,0.89,-0.21,4.2,302.7984228,-61.1354659,348.849,12.42,0,9.6
TOI-5573 b,TOI-5573,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),8.79758977,0.0712,0.072,9.75,112,528,,3790,0.594,0.619,0.42,4.68,136.4259999,55.3071309,186.562,15.508,0,12.92
TOI-558 b,TOI-558,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.574071,0.1291,0.298,12.17295304,1147.360549,1061,F V,6466,1.496,1.349,-0.004,4.218,42.2915093,-58.0246828,402.63,11.233,0,248.8554
TOI-559 b,TOI-559,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),6.9839095,0.0723,0.151,12.22899794,1910.148726,1180,G V,5925,1.233,1.026,-0.069,4.268,46.8186159,-31.1629951,233.266,11.091,0,404.915
TOI-5592 b,TOI-5592,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),2.6085846,0.03935,0.062,17.14974047,285.7277379,1789,,6237,1.393,1.194,-0.013,4.226,106.6800684,65.857249,597.026,12.614,0,1712
TOI-561 b,TOI-561,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.4465697,0.01064,0,1.397,2.02,2319,G9 V,5342,0.843,0.806,-0.41,4.47,148.1851516,6.216103,85.799,10.252,0,4709
TOI-561 c,TOI-561,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),10.778838,0.0889,0.023,2.865,5.93,802,G9 V,5342,0.843,0.806,-0.41,4.47,148.1851516,6.216103,85.799,10.252,0,67.5
TOI-561 d,TOI-561,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),25.71268,0.1587,0.111,2.615,13.33,600,G9 V,5342,0.843,0.806,-0.41,4.47,148.1851516,6.216103,85.799,10.252,1,21.2
TOI-561 e,TOI-561,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),77.144,0.33,0.074,2.517,12.4,416,G9 V,5342,0.843,0.806,-0.41,4.47,148.1851516,6.216103,85.799,10.252,1,4.89
TOI-5616 b,TOI-5616,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),2.002849,0.0272,0,10.78,624,939,,3996,0.646,0.666,0.14,4.67,184.9016378,48.6832895,390.415,16.74,0,137
TOI-5634 A b,TOI-5634 A,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),2.2035373,0.0272,0,10.42,588,837,,3896,0.54,0.556,-0.27,4.73,175.6436366,20.9652921,306.144,16.854,0,77
TOI-564 b,TOI-564,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.651144,0.02734,0.072,11.43318,464.98529,1714,,5640,1.088,0.998,0.143,4.364,130.2951535,-16.0363275,199.581,11.097,0,1423
TOI-5678 b,TOI-5678,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),47.73022,0.249,0.14,4.91,20,513,G7 V,5485,0.938,0.905,0,4.34,47.3841872,-34.1984808,165.393,11.438,0,3.8369
TOI-5688 A b,TOI-5688 A,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),2.94815527,0.03379,0.128,10.3,124,742,,3713,0.57,0.6,0.47,4.69,266.9231001,47.7050486,226.318,15.78,0,50.3
